mmsi,lat,lon,speed,course,timestamp,speed_diff,course_diff,anomaly
232056337,50.35946,-4.117682,0.0,360.0,,0.0,0.0,1
235116983,50.363947,-4.15631,0.0,196.1,,0.0,0.0,1
235106587,50.34938,-4.13106,2.5,185.1,,0.0,0.0,1
235067888,50.369187,-4.132753,0.0,328.0,,0.0,0.0,1
235061062,50.343207,-4.152367,17.0,326.0,,0.0,0.0,1
232002651,50.333,-4.173198,9.6,264.0,,0.0,0.0,1
235066588,50.3371,-4.148903,0.0,103.0,,0.0,0.0,1
235106587,50.348673,-4.131162,2.7,187.2,,0.20000000000000018,2.0999999999999943,1
235106587,50.348675,-4.131163,2.7,187.3,,0.0,0.10000000000002274,1
235106587,50.348675,-4.131163,2.7,187.3,,0.0,0.0,1
235061062,50.3473,-4.156203,16.6,330.9,,-0.3999999999999986,4.899999999999977,-1
235061062,50.3473,-4.156205,16.6,331.0,,0.0,0.10000000000002274,1
235061062,50.3473,-4.156205,16.6,331.0,,0.0,0.0,1
235061062,50.3473,-4.156205,16.6,331.0,,0.0,0.0,1
235061062,50.3473,-4.156205,16.6,331.0,,0.0,0.0,1
232002652,50.35865,-4.147382,9.0,303.5,,0.0,0.0,1
235109107,50.36593,-4.131958,0.0,284.1,,0.0,0.0,1
232028284,50.363847,-4.131643,3.9,108.7,,0.0,0.0,1
232002651,50.33265,-4.177385,9.6,263.2,,0.0,-0.8000000000000114,1
232002651,50.33265,-4.177385,9.6,263.2,,0.0,0.0,1
232002651,50.33265,-4.177385,9.6,263.2,,0.0,0.0,1
235109107,50.365928,-4.131958,0.0,284.2,,0.0,0.0999999999999659,1
232056337,50.359447,-4.117662,0.0,360.0,,0.0,0.0,1
232048902,50.360153,-4.120343,0.0,205.8,,0.0,0.0,1
235066588,50.337113,-4.14891,0.0,202.0,,0.0,99.0,1
232056337,50.359447,-4.117662,0.0,360.0,,0.0,0.0,1
232056337,50.359447,-4.117662,0.0,360.0,,0.0,0.0,1
232048902,50.360153,-4.120343,0.0,205.8,,0.0,0.0,1
232048902,50.360153,-4.120343,0.0,205.8,,0.0,0.0,1
232048902,50.360153,-4.120343,0.0,205.8,,0.0,0.0,1
235061062,50.347703,-4.1566,16.7,328.9,,0.09999999999999787,-2.1000000000000227,1
235116983,50.363947,-4.156312,0.0,55.5,,0.0,-140.6,1
235106587,50.348573,-4.131182,2.6,187.2,,-0.10000000000000009,-0.10000000000002274,1
235061062,50.347703,-4.1566,16.8,329.0,,0.10000000000000142,0.10000000000002274,1
235116983,50.363945,-4.156312,0.1,55.5,,0.1,0.0,1
