mmsi,lat,lon,speed,course,timestamp
232056337,50.35946,-4.117682,0.0,360.0,
235116983,50.363947,-4.15631,0.0,196.1,
235106587,50.34938,-4.13106,2.5,185.1,
235067888,50.369187,-4.132753,0.0,328.0,
235061062,50.343207,-4.152367,17.0,326.0,
232002651,50.333,-4.173198,9.6,264.0,
999999999,66.025,12.258,250,360,
888888888,51.507,-0.127,0,999 
0,50.37457,-4.141117,0.0,360.0,
0,50.37457,-4.141117,0.0,360.0,
0,50.37457,-4.141117,0.0,360.0,
0,50.37457,-4.141117,0.0,360.0,
0,50.37457,-4.141117,0.0,360.0,
0,50.37457,-4.141117,0.0,360.0,
2320075,50.362935,-4.156857,,,
2320075,50.362935,-4.156857,,,
2320075,50.362935,-4.156857,,,
2320075,50.362935,-4.156857,,,
2320075,50.362935,-4.156857,,,
2320075,50.362935,-4.156857,,,
0,50.374507,-4.141242,0.0,360.0,
235066588,50.3371,-4.148903,0.0,103.0,
235106587,50.348673,-4.131162,2.7,187.2,
0,50.374505,-4.141245,0.0,360.0,
0,50.374505,-4.141245,0.0,360.0,
0,50.374503,-4.14125,0.0,360.0,
0,50.374503,-4.14125,0.0,360.0,
0,50.374505,-4.141245,0.0,360.0,
0,50.374505,-4.141245,0.0,360.0,
0,50.374503,-4.14125,0.0,360.0,
235106587,50.348675,-4.131163,2.7,187.3,
235106587,50.348675,-4.131163,2.7,187.3,
0,50.3745,-4.141255,0.0,360.0,
0,50.3745,-4.141255,0.0,360.0,
0,50.3745,-4.141255,0.0,360.0,
235061062,50.3473,-4.156203,16.6,330.9,
235061062,50.3473,-4.156205,16.6,331.0,
0,50.374495,-4.141265,0.0,360.0,
235061062,50.3473,-4.156205,16.6,331.0,
0,50.374495,-4.141265,0.0,360.0,
235061062,50.3473,-4.156205,16.6,331.0,
235061062,50.3473,-4.156205,16.6,331.0,
0,50.374495,-4.141265,0.0,360.0,
0,50.374493,-4.14127,0.0,360.0,
0,50.374493,-4.14127,0.0,360.0,
232002652,50.35865,-4.147382,9.0,303.5,
235109107,50.36593,-4.131958,0.0,284.1,
232028284,50.363847,-4.131643,3.9,108.7,
232002651,50.33265,-4.177385,9.6,263.2,
232002651,50.33265,-4.177385,9.6,263.2,
232002651,50.33265,-4.177385,9.6,263.2,
235109107,50.365928,-4.131958,0.0,284.2,
232056337,50.359447,-4.117662,0.0,360.0,
232048902,50.360153,-4.120343,0.0,205.8,
235066588,50.337113,-4.14891,0.0,202.0,
0,50.374488,-4.141282,0.0,360.0,
0,50.374488,-4.141282,0.0,360.0,
232056337,50.359447,-4.117662,0.0,360.0,
232056337,50.359447,-4.117662,0.0,360.0,
0,50.374488,-4.141282,0.0,360.0,
0,50.374488,-4.141282,0.0,360.0,
232048902,50.360153,-4.120343,0.0,205.8,
232048902,50.360153,-4.120343,0.0,205.8,
232048902,50.360153,-4.120343,0.0,205.8,
235061062,50.347703,-4.1566,16.7,328.9,
0,50.374487,-4.141285,0.0,360.0,
0,50.374487,-4.141285,0.0,360.0,
235116983,50.363947,-4.156312,0.0,55.5,
235106587,50.348573,-4.131182,2.6,187.2,
235061062,50.347703,-4.1566,16.8,329.0,
235116983,50.363945,-4.156312,0.1,55.5,
0,50.374483,-4.141292,0.0,360.0,
0,50.374483,-4.141293,0.0,360.0,
0,50.374483,-4.141292,0.0,360.0,
0,50.374483,-4.141293,0.0,360.0,
0,50.374483,-4.141292,0.0,360.0,
0,50.374483,-4.141293,0.0,360.0,
0,50.374483,-4.141292,0.0,360.0,
0,50.374483,-4.141293,0.0,360.0,
0,50.374482,-4.141297,0.0,360.0,
235066588,50.33711,-4.14892,0.0,195.0,
232002651,50.33261,-4.177997,9.6,264.2,
235066588,50.337108,-4.14892,0.1,195.0,
235066588,50.337108,-4.14892,0.1,195.0,
235066588,50.337108,-4.14892,0.1,195.0,
235066588,50.337108,-4.14892,0.1,195.0,
235066588,50.337108,-4.14892,0.1,195.0,
235109107,50.36593,-4.13197,0.0,284.1,
235061062,50.348087,-4.156953,16.7,328.0,
235102126,50.360173,-4.12043,0.0,360.0,
232697000,50.33741,-4.148602,0.1,80.0,
0,50.374478,-4.141302,0.0,360.0,
0,50.374478,-4.141302,0.0,360.0,
232056337,50.359447,-4.117653,0.0,360.0,
235116983,50.36394,-4.156312,0.0,112.0,
235116983,50.363943,-4.156312,0.1,112.1,
0,50.374475,-4.141308,0.0,360.0,
0,50.374475,-4.141308,0.0,360.0,
0,50.374475,-4.141308,0.0,360.0,
0,50.374475,-4.141308,0.0,360.0,
235066588,50.337113,-4.148913,0.1,193.9,
0,50.374475,-4.141308,0.0,360.0,
0,50.374475,-4.141308,0.0,360.0,
0,50.374475,-4.141308,0.0,360.0,
235106587,50.348443,-4.1312,2.5,183.7,
0,50.374475,-4.14131,0.0,360.0,
235061062,50.348497,-4.15733,16.8,330.0,
232002651,50.33257,-4.178677,9.6,264.7,
232002652,50.35905,-4.14855,9.0,291.4,
0,50.37447,-4.14132,0.0,360.0,
232020995,50.359233,-4.119327,0.0,341.5,
235061062,50.348903,-4.157705,17.1,328.9,
235066588,50.337073,-4.148983,0.2,180.9,
232056337,50.359447,-4.117648,0.0,360.0,
2320075,50.362935,-4.156857,,,
235116983,50.363947,-4.156312,0.0,325.6,
0,50.374468,-4.141328,0.0,360.0,
0,50.374468,-4.141328,0.0,360.0,
0,50.374468,-4.141328,0.0,360.0,
0,50.374468,-4.14133,0.0,360.0,
0,50.374468,-4.14133,0.0,360.0,
0,50.374468,-4.14133,0.0,360.0,
0,50.374465,-4.141337,0.0,360.0,
0,50.374465,-4.141337,0.0,360.0,
0,50.374465,-4.141337,0.0,360.0,
0,50.374465,-4.141337,0.0,360.0,
0,50.374465,-4.141337,0.0,360.0,
235066588,50.33707,-4.148938,0.2,189.9,
0,50.374465,-4.141338,0.0,360.0,
235066588,50.33707,-4.148938,0.3,190.0,
